Date,Close,Open,Low,High
1/2/2015 16:00:00,308.52,312.5,306.96,314.75
1/5/2015 16:00:00,302.19,307.02,300.85,308.38
1/6/2015 16:00:00,295.29,302.2,292.38,303
1/7/2015 16:00:00,298.42,297.54,295.33,301.28
1/8/2015 16:00:00,300.46,300.59,296.11,303.14
1/9/2015 16:00:00,296.93,301.5,296.68,302.87
1/12/2015 16:00:00,291.41,297.96,289.28,298.51
1/13/2015 16:00:00,294.74,297.48,293.23,301.5
1/14/2015 16:00:00,293.27,291.93,286.5,295.91
1/15/2015 16:00:00,286.95,294,286.82,296
1/16/2015 16:00:00,290.74,286.15,285.25,290.79
1/20/2015 16:00:00,289.44,292.59,286.39,293.36
1/21/2015 16:00:00,297.25,289.64,287.26,306
1/22/2015 16:00:00,310.32,300,300,312.25
1/23/2015 16:00:00,312.39,308.08,307.72,316.93
1/26/2015 16:00:00,309.66,312,307.52,313
1/27/2015 16:00:00,306.75,306.3,302.63,310.24
1/28/2015 16:00:00,303.91,309.5,303.8,311.51
1/29/2015 16:00:00,311.78,304.73,299.33,312.8
1/30/2015 16:00:00,354.53,346.32,340.74,359.5
2/2/2015 16:00:00,364.47,350.05,350.01,365
2/3/2015 16:00:00,363.55,360.29,360.21,367.82
2/4/2015 16:00:00,364.75,358.38,358.23,367.5
2/5/2015 16:00:00,373.89,366,365.9,378.8
2/6/2015 16:00:00,374.28,374.87,371.01,375.99
2/9/2015 16:00:00,370.56,371,367.2,374.41
2/10/2015 16:00:00,373,371.19,368.51,374.3
2/11/2015 16:00:00,375.14,371.23,371.1,377.1
2/12/2015 16:00:00,377.17,375,373.15,378.51
2/13/2015 16:00:00,381.83,378.31,377.01,383
2/17/2015 16:00:00,375.43,378.83,372.67,379.99
2/18/2015 16:00:00,373.37,373.78,372.85,376.74
2/19/2015 16:00:00,379,373.43,373.43,381.88
2/20/2015 16:00:00,383.66,378.61,375.84,383.7
2/23/2015 16:00:00,380.14,383.37,378,384.54
2/24/2015 16:00:00,378.59,378.64,376.16,380.48
2/25/2015 16:00:00,385.37,377,376.54,387.85
2/26/2015 16:00:00,384.8,384.07,383.28,389.37
2/27/2015 16:00:00,380.16,384,379.79,385.99
3/2/2015 16:00:00,385.66,380.85,379.48,385.9
3/3/2015 16:00:00,384.61,383.95,381.6,386.1
3/4/2015 16:00:00,382.72,385.71,382.19,387.9
3/5/2015 16:00:00,387.83,385.5,383.89,388.42
3/6/2015 16:00:00,380.09,385.68,378.88,387
3/9/2015 16:00:00,378.56,378.4,375.28,379.33
3/10/2015 16:00:00,369.51,377.19,369.18,377.77
3/11/2015 16:00:00,366.37,370.5,366.26,373.35
3/12/2015 16:00:00,374.24,368.82,367.52,375.5
3/13/2015 16:00:00,370.58,371.67,366.68,373.99
3/16/2015 16:00:00,373.35,370.5,366.72,373.94
3/17/2015 16:00:00,371.92,371.11,369.64,374.5
3/18/2015 16:00:00,375.14,369.97,366.7,375.99
3/19/2015 16:00:00,373.24,374.16,372.19,377.11
3/20/2015 16:00:00,378.49,376.1,375.92,379.37
3/23/2015 16:00:00,375.11,378.07,374.94,381.77
3/24/2015 16:00:00,374.09,374.01,372.27,375.24
3/25/2015 16:00:00,370.96,375.55,370.29,380.5
3/26/2015 16:00:00,367.35,369,365.65,371.4
3/27/2015 16:00:00,370.56,367,366.57,373.17
3/30/2015 16:00:00,374.59,371.87,371.55,376.12
3/31/2015 16:00:00,372.1,373.09,371.51,377.7
4/1/2015 16:00:00,370.26,372.1,368.34,373.16
4/2/2015 16:00:00,372.25,370.04,369,373.28
4/6/2015 16:00:00,377.04,370.12,369.36,380.2
4/7/2015 16:00:00,374.41,376.07,374.03,379.31
4/8/2015 16:00:00,381.2,374.66,374.65,381.58
4/9/2015 16:00:00,383.54,380.74,378.8,384.42
4/10/2015 16:00:00,382.65,384.26,381.32,387.12
4/13/2015 16:00:00,382.36,383.53,380.14,385.28
4/14/2015 16:00:00,385.11,383.48,381.21,387.81
4/15/2015 16:00:00,383.45,384.95,381.64,385.78
4/16/2015 16:00:00,386.04,383.69,383.55,387.45
4/17/2015 16:00:00,375.56,382.51,374.4,383.56
4/20/2015 16:00:00,389.51,378.55,377,391.94
4/21/2015 16:00:00,391.18,391,386.8,394.6
4/22/2015 16:00:00,389.8,391.98,388,394.28
4/23/2015 16:00:00,389.99,390.21,386.15,391.88
4/24/2015 16:00:00,445.1,439,439,452.65
4/27/2015 16:00:00,438.56,443.9,437.41,446.99
4/28/2015 16:00:00,429.31,438.51,428.04,439
4/29/2015 16:00:00,429.37,426.76,426.03,434.24
4/30/2015 16:00:00,421.78,427.15,419.24,431.75
5/1/2015 16:00:00,422.87,424,416,425.64
5/4/2015 16:00:00,423.04,424.8,422.42,429.77
5/5/2015 16:00:00,421.19,422.85,421.02,427.51
5/6/2015 16:00:00,419.1,421.92,414.55,422.72
5/7/2015 16:00:00,426.88,423.96,422.85,428.5
5/8/2015 16:00:00,433.69,430.75,430.17,435.2
5/11/2015 16:00:00,432.85,432.51,431.37,439
5/12/2015 16:00:00,431.02,431.01,426.71,433.25
5/13/2015 16:00:00,426.87,429.58,425.8,433.53
5/14/2015 16:00:00,432.28,429.26,427.01,433
5/15/2015 16:00:00,426,428,424.3,430.4
5/18/2015 16:00:00,425.24,425.77,421.46,427.27
5/19/2015 16:00:00,421.71,424.94,420.63,428.24
5/20/2015 16:00:00,423.86,420.69,418.36,427.1
5/21/2015 16:00:00,431.63,428,428,436.9
5/22/2015 16:00:00,427.63,431.55,427.61,432.44
5/26/2015 16:00:00,425.47,426.4,422,427
5/27/2015 16:00:00,431.42,427.63,425.01,431.85
5/28/2015 16:00:00,426.57,429.71,425.47,431.35
5/29/2015 16:00:00,429.23,427.31,427.23,432.5
